id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74230,https://dadosabertos.camara.leg.br/api/v2/deputados/74230,COLBERT MARTINS,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,BA,53,https://www.camara.leg.br/internet/deputado/bandep/74230.jpg,
74016,https://dadosabertos.camara.leg.br/api/v2/deputados/74016,COSTA FERREIRA,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,MA,53,https://www.camara.leg.br/internet/deputado/bandep/74016.jpg,
141410,https://dadosabertos.camara.leg.br/api/v2/deputados/141410,CRISTIANO MATHEUS,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,AL,53,https://www.camara.leg.br/internet/deputado/bandep/141410.jpg,
74579,https://dadosabertos.camara.leg.br/api/v2/deputados/74579,CUSTÓDIO MATTOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,53,https://www.camara.leg.br/internet/deputado/bandep/74579.jpg,
141411,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,DAGOBERTO,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,MS,53,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg,
141502,https://dadosabertos.camara.leg.br/api/v2/deputados/141502,DALVA FIGUEIREDO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AP,53,https://www.camara.leg.br/internet/deputado/bandep/141502.jpg,
74467,https://dadosabertos.camara.leg.br/api/v2/deputados/74467,DAMIÃO FELICIANO,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,PB,53,https://www.camara.leg.br/internet/deputado/bandep/74467.jpg,
74060,https://dadosabertos.camara.leg.br/api/v2/deputados/74060,DANIEL ALMEIDA,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,BA,53,https://www.camara.leg.br/internet/deputado/bandep/74060.jpg,
159263,https://dadosabertos.camara.leg.br/api/v2/deputados/159263,DANIEL FONTANA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,53,https://www.camara.leg.br/internet/deputado/bandep/159263.jpg,
73891,https://dadosabertos.camara.leg.br/api/v2/deputados/73891,DARCÍSIO PERONDI,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,RS,53,https://www.camara.leg.br/internet/deputado/bandep/73891.jpg,
73924,https://dadosabertos.camara.leg.br/api/v2/deputados/73924,DAVI ALCOLUMBRE,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,AP,53,https://www.camara.leg.br/internet/deputado/bandep/73924.jpg,
141412,https://dadosabertos.camara.leg.br/api/v2/deputados/141412,DAVI ALVES SILVA,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MA,53,https://www.camara.leg.br/internet/deputado/bandep/141412.jpg,
